LOC_MSCONS;LOC_PLZ;LOC_EEGKEY;DATE_PERIOD_START;YEAR_PS;MONTH_PS;DAY_PS;HOUR_PS;MINUTE_PS;UTC_PS;DATE_PERIOD_END;YEAR_PE;MONTH_PE;DAY_PE;HOUR_PE;MINUTE_PE;UTC_PE;VALUE
US0001062600000001000000022345671;26000;1E+15;201512010815+01;2015;12;1;8;15;1;201512010815+01;2015;12;1;8;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010815+01;2015;12;1;8;15;1;201512010830+01;2015;12;1;8;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010815+01;2015;12;1;8;15;1;201512010830+01;2015;12;1;8;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010830+01;2015;12;1;8;30;1;201512010830+01;2015;12;1;8;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010830+01;2015;12;1;8;30;1;201512010845+01;2015;12;1;8;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010830+01;2015;12;1;8;30;1;201512010845+01;2015;12;1;8;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010845+01;2015;12;1;8;45;1;201512010845+01;2015;12;1;8;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010845+01;2015;12;1;8;45;1;201512010900+01;2015;12;1;9;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010845+01;2015;12;1;8;45;1;201512010900+01;2015;12;1;9;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010900+01;2015;12;1;9;0;1;201512010900+01;2015;12;1;9;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010900+01;2015;12;1;9;0;1;201512010915+01;2015;12;1;9;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010900+01;2015;12;1;9;0;1;201512010915+01;2015;12;1;9;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010915+01;2015;12;1;9;15;1;201512010915+01;2015;12;1;9;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010915+01;2015;12;1;9;15;1;201512010930+01;2015;12;1;9;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010915+01;2015;12;1;9;15;1;201512010930+01;2015;12;1;9;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010930+01;2015;12;1;9;30;1;201512010930+01;2015;12;1;9;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010930+01;2015;12;1;9;30;1;201512010945+01;2015;12;1;9;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010930+01;2015;12;1;9;30;1;201512010945+01;2015;12;1;9;45;1;0,9
US0001062600000001000000022345671;26000;1E+15;201512010945+01;2015;12;1;9;45;1;201512010945+01;2015;12;1;9;45;1;0,9
US0001062600000001000000022345671;26000;1E+15;201512010945+01;2015;12;1;9;45;1;201512011000+01;2015;12;1;10;0;1;0,9
US0001062600000001000000022345671;26000;1E+15;201512010945+01;2015;12;1;9;45;1;201512011000+01;2015;12;1;10;0;1;0,148
US0001062600000001000000022345671;26000;1E+15;201512011000+01;2015;12;1;10;0;1;201512011000+01;2015;12;1;10;0;1;0,148
US0001062600000001000000022345671;26000;1E+15;201512011000+01;2015;12;1;10;0;1;201512011015+01;2015;12;1;10;15;1;0,148
US0001062600000001000000022345671;26000;1E+15;201512011000+01;2015;12;1;10;0;1;201512011015+01;2015;12;1;10;15;1;0,252
US0001062600000001000000022345671;26000;1E+15;201512011015+01;2015;12;1;10;15;1;201512011015+01;2015;12;1;10;15;1;0,252
US0001062600000001000000022345671;26000;1E+15;201512011015+01;2015;12;1;10;15;1;201512011030+01;2015;12;1;10;30;1;0,252
US0001062600000001000000022345671;26000;1E+15;201512011015+01;2015;12;1;10;15;1;201512011030+01;2015;12;1;10;30;1;0,311
US0001062600000001000000022345671;26000;1E+15;201512011030+01;2015;12;1;10;30;1;201512011030+01;2015;12;1;10;30;1;0,311
US0001062600000001000000022345671;26000;1E+15;201512011030+01;2015;12;1;10;30;1;201512011045+01;2015;12;1;10;45;1;0,311
US0001062600000001000000022345671;26000;1E+15;201512011030+01;2015;12;1;10;30;1;201512011045+01;2015;12;1;10;45;1;0,237
US0001062600000001000000022345671;26000;1E+15;201512011045+01;2015;12;1;10;45;1;201512011045+01;2015;12;1;10;45;1;0,237
US0001062600000001000000022345671;26000;1E+15;201512011045+01;2015;12;1;10;45;1;201512011100+01;2015;12;1;11;0;1;0,237
US0001062600000001000000022345671;26000;1E+15;201512011045+01;2015;12;1;10;45;1;201512011100+01;2015;12;1;11;0;1;0,4
US0001062600000001000000022345671;26000;1E+15;201512011100+01;2015;12;1;11;0;1;201512011100+01;2015;12;1;11;0;1;0,4
US0001062600000001000000022345671;26000;1E+15;201512011100+01;2015;12;1;11;0;1;201512011115+01;2015;12;1;11;15;1;0,4
US0001062600000001000000022345671;26000;1E+15;201512011100+01;2015;12;1;11;0;1;201512011115+01;2015;12;1;11;15;1;0,43
US0001062600000001000000022345671;26000;1E+15;201512011115+01;2015;12;1;11;15;1;201512011115+01;2015;12;1;11;15;1;0,43
US0001062600000001000000022345671;26000;1E+15;201512011115+01;2015;12;1;11;15;1;201512011130+01;2015;12;1;11;30;1;0,43
US0001062600000001000000022345671;26000;1E+15;201512011115+01;2015;12;1;11;15;1;201512011130+01;2015;12;1;11;30;1;0,341
US0001062600000001000000022345671;26000;1E+15;201512011130+01;2015;12;1;11;30;1;201512011130+01;2015;12;1;11;30;1;0,341
US0001062600000001000000022345671;26000;1E+15;201512011130+01;2015;12;1;11;30;1;201512011145+01;2015;12;1;11;45;1;0,341
US0001062600000001000000022345671;26000;1E+15;201512011130+01;2015;12;1;11;30;1;201512011145+01;2015;12;1;11;45;1;0,474
US0001062600000001000000022345671;26000;1E+15;201512011145+01;2015;12;1;11;45;1;201512011145+01;2015;12;1;11;45;1;0,474
US0001062600000001000000022345671;26000;1E+15;201512011145+01;2015;12;1;11;45;1;201512011200+01;2015;12;1;12;0;1;0,474
US0001062600000001000000022345671;26000;1E+15;201512011145+01;2015;12;1;11;45;1;201512011200+01;2015;12;1;12;0;1;0,519
